,0
11257,a man and woman sitting on a bench 
14370,a man sitting on a bench holding a tennis racket 
12104,a painting of a woman with a cat on her face 
625,a man standing on a bench next to a sign 
8816,a girl sitting on a train looking out the window 
830,a man and woman standing next to each other 
2323,a man standing in front of a sign with a picture of a man on it 
983,a painting of a man and woman holding a book 
642,a man in a cowboy hat and cowboy hat 
655,a picture of a woman with a sign 
10341,"a sign that says ""no parking"" on it "
639,a woman and a man standing next to each other 
266022,a man holding a red and white fire hydrant 
168450,a man holding a cell phone in his hand 
30180,a crowd of people standing around a dead animal 
31388,a man and a woman dressed up as zombies 
