,0
11257,a man and woman sitting on a bench 
14370,a man sitting on a bench holding a tennis racket 
12104,a painting of a woman with a cat on her face 
625,a man standing on a bench next to a sign 
8816,a girl sitting on a train looking out the window 
830,a man and woman standing next to each other 
2323,a man standing in front of a sign with a picture of a man on it 
983,a painting of a man and woman holding a book 
642,a man in a cowboy hat and cowboy hat 
655,a picture of a woman with a sign 
10341,"a sign that says ""no parking"" on it "
639,a woman and a man standing next to each other 
266022,a man holding a red and white fire hydrant 
168450,a man holding a cell phone in his hand 
30180,a crowd of people standing around a dead animal 
31388,a man and a woman dressed up as zombies 
41801,a woman sitting on a bed with a magazine 
66034,a man and woman standing next to each other 
96288,a woman and a man sitting on a bench 
61536,a man in a suit and tie holding a sign 
18762,a man and woman posing for a picture 
8077,a blurry image of a neon sign with a light 
814,a man and a woman standing next to each other 
41671,a painting of a church with a clock on it 
27214,a cat is jumping up into the air 
52263,a woman sitting in front of a large clock 
33519,a painting of a man in a black shirt and a sign 
16235,a cat with a hat on it 
11449,"a church with a sign that reads ""the church of christmas"" "
41848,a painting of a church with a fire place 
25944,a man in a suit and tie laying on a bed 
24913,a number of people sitting on a red carpet 
49126,a woman in a dress standing in front of a sign 
32076,a poster of a man in a black and white photo 
571,a painting of a woman holding a sign with a bird on it 
8851,a man in a suit talking on a cell phone 
37843,a woman is painting a picture of herself on a surfboard 
32146,a blurry photo of a woman with a red face 
30346,a painting of a man with a cartoon character on his face 
6114,a painting of a statue of a cow 
229,a painting of a man with a cartoon character on his face 
13549,a painting of a woman and a man 
9529,a snake is sticking out of a bottle 
1598,a man and woman are standing in front of a sign 
11349,a man with a hat and a sign 
7340,a collage of photos of a woman in a red dress 
6217,a woman with a red face is sitting on a red couch 
377,a woman is laying in bed with a large red and white sheet 
653,a painting of a man with a cat on his head 
28198,a woman in a black dress with a cat on her head 
794,a man and a woman are standing next to each other 
31640,a collage of photos of a man with a beard 
8744,a man sitting in a chair next to a vintage photo of a man 
25189,a man and woman are looking at a painting 
145,a sunset view of a beach with a sign 
2212,a collage of photos of a man in a black shirt 
199,a man with a tattoo on his face 
7863,a man in a suit and tie standing in front of a blue sky 
12498,a man with a picture of a bear on his head 
9279,a man in a red shirt and a woman in a blue shirt 
53234,a person standing on a beach with a surfboard 
17204,a collage of photos of a man with a sign 
21539,a man and woman standing next to each other 
85589,two people sitting on a boat in the ocean 
12709,a woman wearing a hat and a dog 
20539,a man with a beard and a picture of a woman 
11674,a woman in a red dress holding a sign 
199512,a painting of a woman sitting on a chair 
64900,a man with a red hat and a picture of a cat 
1573,a man with a tattoo on his face 
152,a blurry photo of a neon fire hydrant 
174,a blurry picture of a korean movie with a neon sign 
172,a collage of photos of a man with a red and white striped umbrella 
154,a man in a suit is holding a cartoon character 
157,a collage of images of a man in a suit 
168,a painting of a woman holding a book 
364,a man with a mask on 
11967,a billboard with a group of people posing for a picture 
9086,a man in a suit holding a bunch of guns 
621,a man and a woman are kissing 
9037,a man and woman are posing for a picture 
10173,a man in a black jacket holding a knife 
55687,a man and a woman playing a video game 
168535,a man and a woman posing for a picture 
8845,a man in a suit and tie with a bow tie 
46681,a woman walking down a street with a sign 
578,a close up of a picture of a man in a swim suit 
579,a man in a bikini is holding a surfboard 
17692,a man is surfing in the water with a surfboard 
17795,a man and a woman posing for a picture 
75,a painting of a girl with a stuffed animal 
13891,a woman holding a bottle of beer and a sign 
9390,a man in a suit talking on a cell phone 
378,a man sitting on a chair in a chair 
10896,two men sitting on a curb next to a parked car 
2322,a poster of a man in a red jacket 
41240,a woman in a dress and a man in a suit 
26949,a man and woman posing for a picture 
9819,a group of people posing for a picture 
31908,a man and woman are standing together 
46027,a man laying on a bed with a clock 
3179,a painting of a cartoon character with a cartoon character on it 
1802,a woman with a black and white photo 
4232,a collage of photos of a woman and a man 
9361,a man holding a baseball bat in front of a painting 
2928,a man in a suit and tie 
30285,two people sitting on a beach with a sunset 
10549,a man in a suit standing in front of a crowd 
58102,a man reading a book while sitting on a toilet 
18451,a painting of a man with a horse on his head 
27265,a man and woman are looking at a woman's face 
49935,a woman holding a cake with a picture of a man on it 
8818,a man and a woman are looking at a picture 
36758,a painting of a woman in a dress 
36040,a car is flying through the air with a parachute 
74239,"a sign that says ""don't drink the water"" "
9415,a man with glasses is looking at a picture 
303693,a man in a suit and tie with a microphone 
12145,a man and woman are reading a book 
42424,a picture of a woman holding a surfboard 
34314,a man is standing next to a motorcycle with a picture of a man on it 
2892,a man and a woman are looking at a picture 
9404,a man with a picture of a bear on his head 
85242,a man holding a cell phone next to a woman 
9622,"a man is holding a sign that reads ""the best of the best"" "
8860,a man holding a gun in his right hand 
197537,a man is reading a book in front of a crowd 
66597,a woman and a cat are looking at a picture 
14832,a person is jumping over a painting on a wall 
9619,a man and woman are in a picture 
40506,a man in a suit holding a sandwich 
31000,a man reading a book in front of a sign 
4104,a man and woman holding up a sign 
26306,a man in a red shirt is holding a sign 
43775,a poster of a movie with a picture of a bear 
14908,two pictures of a man with a hat and a gun 
784,a man with a beard is holding a camera 
12489,a man and woman sitting on a bench 
168283,a man in a suit is holding a baseball bat 
16448,a man standing in a field with a frisbee 
55936,a man standing on top of a snow covered hill 
17894,a woman and a man posing for a picture 
28059,people standing around a store 
58911,a man and woman are talking on a cell phone 
17949,a cartoon character with a gun and a sign 
1968,a man and woman are kissing and smiling 
61563,a person with a red and black heart on a red and black background 
66,a man holding a guitar and a poster 
20735,a man and a woman posing for a picture 
11419,a large red and white fire hydrant with a man on it 
333165,a painting of a dead animal on a wall 
25796,a man and woman in wedding attire 
638,a woman is shown with a picture of a man 
25624,two men sitting on a bench with a book 
9366,a man in a suit and tie standing next to a woman 
60083,a man in a suit is holding a balloon 
21915,a woman in a bikini posing for a picture 
90928,a man in a baseball uniform is holding a sign 
50091,a man and a woman sitting on a bus 
18420,a fire hydrant with a large group of people 
19952,a man and woman posing for a picture 
9446,a man in a suit and tie holding a sign 
28005,a woman holding a book with a picture of a woman 
9403,a man in a suit and tie is standing on a pole 
27322,a woman is laying down with a book 
10003,a man and woman are posing for a picture 
9311,a woman with a picture of a dog on her head 
11844,a man is holding a sign with a cat on it 
884,a man in a car looking at his phone 
49806,"a woman is holding a sign that says ""women's rights"" "
1624,a man in a suit and tie posing for a picture 
88423,a man and woman are reading a newspaper 
16052,a woman holding a cell phone up to her face 
4477,a man and a woman are looking at a picture 
24662,a cake with a picture of a train on it 
18423,a woman in a bikini and a man in a suit 
76996,a man and a woman posing for a picture 
6499,a poster of a hockey team with a mascot 
50512,a painting of a man in a black and white photo 
9405,a man holding a large yellow object in his hand 
12723,a man and a woman sitting on a couch 
9360,a woman in a bikini with a man 
9434,a collage of photos of a man and a woman 
118991,a man with a hat and sunglasses on 
21626,a woman is looking at a man's face 
13982,a man in a suit holding a book and a stuffed animal 
93946,a man holding a sign with a picture of a woman 
77223,a woman with a picture of a horse on her arm 
31465,a man in a suit talking on a cell phone 
12793,a collage of photos of a woman with a book 
105763,a man in a crown is holding a cake 
9611,two girls are standing on a wall with a pink and white background 
47694,a woman is posing for a picture with a magazine 
10357,a fire hydrant with a bunch of smoke coming out of it 
816,a woman in a bikini is holding a sign 
2163,a man is reading a book in the dark 
124680,a photo taken from inside a magazine 
16399,a painting of a woman with a sign 
124843,a woman eating a piece of food 
31017,a man in a suit and tie 
24645,a woman holding a baby in front of a painting 
49478,a painting of a man with a cat on his head 
12499,a man in a suit and tie is talking on a cell phone 
18,a man in a suit and a woman in a suit 
68545,a woman is posing for a picture with a sign 
1811,a poster of a man on a computer screen 
109614,a man and woman are posing for a picture 
60082,a woman in a bikini and a man in a costume 
105045,a man and woman are standing next to each other 
53023,a man walking through a desert with a bunch of flowers 
64802,a woman in a white dress is holding a microphone 
11239,a woman in a red dress and a red skirt 
50850,a woman sitting on a bench with a book 
15321,a man jumping in the air with a skateboard 
2058,a man and a woman posing for a picture 
9450,a man and woman are posing for a picture 
16375,a collage of photos of a woman holding a sign 
33660,a dog with a picture of a man on it 
59232,a collage of photos of people in a room 
45671,a man and a woman wearing sunglasses 
17770,a man and woman sitting at a table talking 
15170,a painting of a man and a woman with a bear statue 
1701,a painting of a man holding a sign 
201445,a woman and a man are posing for a picture 
26422,a woman is laying in bed with a book 
124642,a woman is reading a newspaper in front of a sign 
1639,a man and a woman are looking at a picture 
49235,a man and a woman are holding up a sign 
106129,a woman is standing in front of a wall 
34941,a man and a woman standing next to each other 
407992,a woman is lying on the bed with a picture of her 
8874,a woman holding a cell phone in front of a picture of a man 
17991,a man in a black jacket is reading a book 
11956,a collage of photos showing a man and woman 
266,a painting of a woman with a picture of a man 
754,two images of a man with a black and white background 
37567,a man and woman are kissing on a bed 
249358,a man with a hat and a picture of a woman 
111367,a man is reading a newspaper while another man watches 
607,a man holding a baseball bat in front of a crowd 
18080,two men are posing for a picture while holding a cell phone 
38225,a man and a woman are holding a stuffed animal 
17834,a woman holding a sign with a cartoon character 
686,a man sitting on a stage with a magazine 
65046,a woman posing for a picture with a sign 
4421,a man with a beard and a picture of a man 
9387,a woman in a bikini holding a kite 
10603,a man holding a cartoon character in a cartoon 
2142,a man in a suit and tie with a group of people 
8413,a cartoon character is flying through the air 
10336,a red and black bird with a red handle 
20737,a dog jumping up into the air with a frisbee 
9413,a woman holding an umbrella walking down a street 
14585,a man with a beard and glasses is wearing sunglasses 
18519,a man riding a wave on top of a surfboard 
49462,a collage of photos of different types of people 
8834,a woman with a picture of a man 
9458,a collage of photos of a woman with a sign 
8854,a man in a black and white photo with a bat 
38295,a man and a woman posing for a picture 
22073,a man in a suit and tie 
37244,a young boy wearing a hat and a cat 
4961,a man and a woman are standing together 
9416,a man in a suit and tie is talking to a woman 
26180,a woman and a man are looking at a car 
17832,a painting of a man holding a book 
9772,a man holding a book in his hands 
6072,a man with a tattoo on his face 
1669,a man with a red face and a red heart 
468,a man with a beard and a sign 
32519,a man reading a book while holding a book 
108401,a woman sitting in a car with an umbrella 
10806,a man in a suit and tie holding a flower 
9433,a man with a picture of a bear on his head 
6623,a collage of photos of a man holding a skateboard 
2118,a woman in a red dress and a man in a black dress 
978,a man and woman are looking at a picture 
9437,a man with a glowing light behind him 
29461,a man in a suit and tie holding a sign 
56651,a man jumping in the air with a skateboard 
10351,a blurry image of a person holding a red and white object 
66588,a woman and a man are looking at a picture 
2649,a man with a flower in his hair 
14289,a man with a gun in front of a painting 
10155,a man and woman are posing for a picture 
75250,a man standing next to a boy in a black and white photo 
20457,a woman holding a sign in front of a building 
18355,a man with a beard and a hat 
33657,a man with a beard and glasses is holding a camera 
36434,a woman is shown in front of a crowd of people 
2255,a man in a suit and tie posing for a picture 
28353,a woman in a bikini standing next to a man 
9427,a man in a red shirt and a man in a blue shirt 
172545,a man with a tattoo on his arm 
17589,a man and woman are talking to each other 
3597,a collage of photos of a woman and a man 
1813,a man in a suit and tie standing next to a poster 
36797,a painting of a man with a shark on his head 
12628,a man holding a nintendo wii game controller 
33344,a woman wearing a pink dress and a pink skirt 
25099,a collage of photos of a man and a woman 
45019,a woman is laying on a bed with a picture of a man 
63437,a man with a red tie and a picture of a man 
62422,a person is holding a guitar in their hand 
782,a man and a woman are looking at a picture 
29911,two girls are reading a book together 
9827,a man and a woman are standing in front of a poster 
1959,a man and woman are kissing on the lips 
8067,a woman talking on a cell phone while holding a sign 
125052,a group of young men posing for a picture 
45153,a painting of a man holding a sign 
10871,a man is looking at a blurry photo of a man 
14398,a man with a mustache and a hat 
10890,a man in a suit is reading a book 
99002,a woman is lying on a beach with a tattoo 
1281,"a man holding a sign that says ""stop"" "
32332,a woman with a blue shirt and a blue towel 
9770,a man in a suit and tie holding a cell phone 
12616,a collage of photos of a man and a woman 
34838,a woman is talking on a cell phone 
14905,a collage of photos of a man in a suit 
14583,a man and a woman are sitting on a bed 
11975,a man in a suit and tie standing next to a crowd 
4995,"a sign that says ""don't miss the holidays"" "
9281,a man in a suit and tie 
45928,two pictures of a man and woman 
563,a man in a red jacket and a man in a blue jacket 
61337,a woman and a man are in a hospital bed 
19931,a man and woman standing next to each other 
31535,a man riding a surfboard on top of a wave 
10215,a woman is posing for a picture with her hair 
9823,a motorcycle stunt with a person in the back 
37165,a man with a picture of a bear on his head 
45609,a couple posing for a picture in front of a river 
38904,a woman and a man are sitting on a bench 
45565,a man and woman are looking at a book 
9407,a man with a tattoo on his face 
4824,a man with a beard and sunglasses 
9444,a woman walking down a street with a clock on her chest 
9414,a man in a suit holding a bottle of champagne 
8078,a man with a black and white photo of a man with a knife 
29938,a woman in a bikini posing for a picture 
11831,a man and a woman are standing next to a clock 
2895,a man in a suit is holding a sign 
39177,a man and a woman posing for a picture 
19601,two men standing next to each other holding up their arms 
124606,a man with a cell phone in his mouth 
42832,a large group of people wearing baseball caps 
22797,a painting of a bear on a red and white background 
2639,a collage of photos of people with different types of art 
9574,a cartoon character with a green umbrella 
10371,a woman and a man are holding a plate of food 
489,a man sitting next to a man with a book 
167738,a man reading a book to a child 
9714,a young boy wearing a blue shirt and a blue tie 
102406,a man in a costume with a skull on his head 
170430,a painting of a woman with a knife 
8197,a man standing in the middle of a river spraying water 
6283,a stuffed animal with a cartoon character on it 
279698,a man is reading a book while a woman watches 
49728,a man and woman holding up a pair of scissors 
64562,a woman is reading a book in front of a man 
4233,a collage of photos of a man and woman 
191874,a building with a clock on it 
10217,a man laying on a bed with a dog 
438108,a woman is holding a bottle of wine 
597,a woman and a man are looking at a picture of a train 
714,a man holding a cell phone in his hand 
52537,a man is holding a sign with a picture of a woman 
12799,a man and a woman are talking on a cell phone 
62394,a man is looking at a picture of a sunset 
9922,a man in a suit holding a teddy bear 
547,a painting of a horse and a cow 
25994,two women are standing in front of a wall 
184,"a sign that says ""no smoking"" "
9746,a young boy wearing a hat and holding a gun 
9438,a man in a suit and tie holding a suitcase 
115,a painting of a man holding a bunch of toys 
26941,a woman and a man standing next to each other 
27103,a woman in a dress holding a cake 
9410,a woman is laying on the floor with a book 
32302,a man holding a sign with a cartoon character 
216794,a man and a woman are looking at a magazine 
88863,a close up of a picture of a man and a woman 
154821,a painting of a man with a sign 
41417,a painting of a man holding a gun 
12538,a man holding a sign with a cartoon character 
586,a man with glasses and a hat 
2666,a clock with a picture of a man on it 
46338,a man with a tattoo on his face 
54007,a close up of a picture of a person with a camera 
11258,a man riding a surfboard in the air 
9490,a man standing next to a man on a field 
9411,a man with a red face is holding a clock 
25719,"a man is holding a sign that says ""don't stop believing"" "
9033,a man in a black shirt and sunglasses looking at a picture 
11220,a man and a woman looking at a map 
21253,a woman holding a cell phone in her hand 
6116,a girl posing for a picture with a bunch of surfboards 
9457,a painting of a man holding a cartoon character 
281289,two women are posing for a picture 
43911,a man in a suit is holding a sign 
39424,a man and a woman posing for a picture 
44361,a man reading a book in front of a forest 
11702,a woman with a camera and a man with a camera 
2923,a woman in a blue shirt and a blue and white drawing 
12238,a cartoon character with a gun in the middle of a picture 
11568,a man in a suit and tie holding a microphone 
41577,a woman holding a large group of bananas 
66894,a collage of photos of a man and woman 
11003,a woman is talking on a cell phone 
10153,a collage of photos of a man and a woman 
49645,a painting of a woman with a gun 
47112,a man is holding a book in front of a group of people 
102732,a couple posing for a picture with a bottle of wine 
30949,a painting of a woman with a cat on her head 
2898,a man holding a dog in his right hand 
9558,a woman standing in front of a sign with a clock 
320011,a man in a suit and tie is talking on a microphone 
26269,a couple posing for a picture in front of a wall 
11808,a man in a suit is holding a video game controller 
6970,a man sitting on the ground with a sign 
47452,a man and woman standing next to each other 
18205,a woman is sitting on a bed with a magazine 
36943,a man and a woman posing for a picture 
21736,a man is standing on a mountain with a backpack 
17941,a woman is looking at her reflection in a mirror 
10668,a man in a suit and tie standing next to a woman 
9313,a man in a suit and tie talking to a group of people 
42807,a man in a suit and tie holding a sign 
617,two women are standing in front of a wall 
36568,a woman holding a bird on top of a green book 
37272,a woman is looking at a picture of a man 
5910,a man standing on a beach holding a sign 
9440,a man in a suit and tie holding a flag 
53092,two men standing on a beach with a surfboard 
32911,a man and woman dressed in costumes standing next to each other 
44308,a woman with a red scarf is holding a pink flower 
124821,a woman is standing in front of a large sign 
32456,two men in black and white posing for a picture 
93350,a man and woman are talking on a cell phone 
62695,a man is sitting on a bench in front of a sign 
32144,a man and a woman holding a frisbee 
17127,a woman and a man are kissing 
40688,a man with a pirate hat and a pirate costume 
17133,a man in a hat and a woman in a hat 
19848,a woman in a red dress is holding a red and white painting 
17644,a stuffed animal with a heart on it 
1774,a man is holding a skateboard and a kite 
30265,a man and woman are looking at a cell phone 
2157,a cartoon character with a gun in his mouth 
70581,a man with a beard holding a cell phone 
8838,a man in a blue shirt and a woman in a blue shirt 
29193,a man and a woman standing next to each other 
795,a woman is looking at a picture of a man 
16980,a woman and a man are standing together 
27472,a man holding a suitcase next to a man with a hat 
47881,a man and woman walking down a street 
9469,a man with a beard is looking at his phone 
12488,a man in a suit and tie holding a camera 
98499,a man is looking at a picture of a woman 
81367,a man and woman posing for a picture with a bear 
267,a close up of a picture of a man with a tattoo 
16148,a man and a woman are standing in front of a picture 
21252,a collage of photos of a man and a woman 
9449,a man in a suit and tie holding a sign 
6264,a man and woman are looking at a book 
90414,a woman is reading a book in front of a picture of a man 
188870,a man in a suit and tie holding a magazine 
215373,a person is holding a black object in their hand 
78149,a woman is wearing a red and white striped shoe 
15513,a man and a woman posing for a picture 
31220,a woman is holding a cartoon character on a wall 
13907,a man with a beard and a black and white photo 
29825,a woman in a bikini is holding a pink and white kite 
10622,a man with a cartoon character on his head 
30020,a man in a black shirt and a white shirt 
17139,a man in a suit and tie is reading a book 
34582,a woman holding a sign with a picture of a bear 
10216,a woman wearing a red dress with a red bow 
9771,a man and a woman posing for a picture 
24560,"a sign that says ""don't drink the water"" "
76330,a man holding a black and white photo of a man 
9448,a man is holding a video game controller 
38618,a woman in a black dress and a black hat 
18316,two men are posing for a picture with a cake 
78373,a man and a woman posing for a picture 
77514,a man and woman are standing on a stairway 
49474,a man is reading a book while sitting in a room 
4415,a man is holding a sign with a picture of a group of people 
39467,a woman is holding a sign in front of a wall 
55561,a woman and a man posing for a picture 
8656,a blurry photo of a movie poster 
209345,a man in a suit and tie posing for a picture 
58680,a woman in a bikini is dancing on a stage 
35161,a woman is reading a book in front of a painting 
35796,a man and woman are posing for a picture 
18937,a painting of a girl and a boy on a wall 
929,a large elephant statue in the middle of a street 
9452,a man with a mask on 
1878,a man in a swimsuit with a picture of a shark on it 
9844,a man and woman posing for a picture 
40505,a man and a woman talking on a cell phone 
14342,two men standing next to a sign with a bear 
9715,a man and a woman are kissing on a bed 
26610,a man riding skis down a snow covered slope 
20064,a man reading a book in front of a picture of a woman 
40961,a knife and a bloody red wine bottle 
