,0
25212,a man is looking at a map on a cell phone 
36048,a man with a picture of a woman on his head 
139,a man and a woman sitting on a tree 
210307,a woman holding a sign with a man 
47816,a man in a suit and tie talking on a cell phone 
20682,a collage of photos of a man and woman 
25166,a man and woman pose for a picture with a sign 
1831,a man and a woman sitting on a bed 
10416,a man in a suit and tie holding a sign 
14271,a collage of photos of a man and a woman 
4816,a man with a beard and a sign 
19958,a couple sitting on a rock near a cliff 
28569,a woman is standing in front of a wall with a picture of a man 
2193,a man sitting next to a sign with a picture of a woman 
64871,"a horse with a caption reading ""the horse is a hero."" "
54575,a person in a bikini with a blue and white swimming pool 
11016,a man holding a camera and a sign 
23020,a man in a hat is talking on a cell phone 
54195,a poster of a baseball player with a flag 
139058,a collage of photos of a woman in a bikini 
20423,a large white bear wearing a white hat 
10839,a cartoon character is jumping in the air 
36489,a man is sitting on a bed with a book 
24481,a painting of a man and a woman on a bus 
11296,a person standing in front of a window with a book 
61651,a woman is holding a rainbow flag 
28172,"a newspaper advertisement for a book titled ""the man in the hat"" "
57855,a cat sitting on top of a yellow truck 
28180,a woman is posing for a picture with a cartoon character 
14280,a woman in a black jacket holding a book 
72086,a painting of a man with a black face 
149687,a man in a suit sitting on a stage 
29478,a man and woman are talking to each other 
28177,a painting of a man holding a book 
64166,a woman standing next to a man in a suit 
73642,a man is standing on a beach with a surfboard 
2067,a blurry photo of a street scene with a light 
622,a man with a black beard and glasses 
110666,a man sitting on the ground with a sign 
28463,a collage of photos of a man and a woman 
12186,a woman in a suit and a man in a suit 
20283,a man riding a bike on top of a yellow and blue striped bicycle 
5693,a man in a blue shirt and a book 
287,a man and a woman posing for a picture 
968,a man with a sign on his head 
838,"a sign for a movie called ""the joker"" "
16958,a woman in a red dress is holding a bottle of wine 
3114,a man with a cowboy hat on a horse 
31938,a painting of a bunch of animals on a wall 
12501,a red and white sign with a picture of a man 
22650,"a man with a sign that says ""don't eat the same"" "
31618,a man and a woman are standing next to each other 
42232,a painting of a man with a sword 
15873,a painting of a painting of a building with a fire 
26928,a man with a hat and a sign 
68427,a woman and a man sitting on a beach 
25392,"a billboard for a movie called ""the movie"" "
67455,a man and woman are reading a newspaper 
22178,a man in a suit and tie is reading a newspaper 
48213,a man with sunglasses standing in front of a sign 
35412,a painting of a man with a cartoon character on his arm 
43463,a painting of a man with a hat on a sign 
59939,a woman and a man are standing next to each other 
159727,a man reading a book with a picture of a bear 
244151,a poster of a man in a suit and a woman in a dress 
8333,a magazine cover with a man in a suit 
19259,a man and woman dressed up as pirates 
820,a flag with a picture of a man and a flag 
11718,a man in a suit and tie posing for a picture 
8989,a stuffed animal with a cartoon character on it 
32031,a collage of photos of a man and a woman 
58048,a woman holding a book with a picture of a bear 
26827,a woman with a black and white photo on her face 
11157,a man and woman are posing for a picture 
28370,a woman in a white dress is flying a kite 
918,a woman standing next to a man in a black and white photo 
61178,a painting of a woman holding a sign with a cat on it 
11176,a painting of a woman holding a vase of flowers 
14900,a stuffed animal with a cartoon character on it 
11899,a cartoon character with a heart on it 
36536,a cartoon character with a sign on it 
18890,a painting of a bear with a cartoon character on it 
19736,a painting of a man holding a stuffed animal 
123047,a person jumping in the air on a snowboard 
24575,a cat is sitting on a table with a cartoon character 
16535,a man and woman are posing for a picture 
10971,a man is on a stage with a surfboard 
23928,a collage of photos of a man in a suit 
31336,a man sitting on a chair with a book 
117259,a woman sitting on a beach with a picture of a horse 
78231,a woman and a man are dressed up in costumes 
2383,a bear and a dog are sitting in the grass 
25503,a painting of a man and a woman on a wall 
53879,a man is holding a fake banana in front of a picture of a woman 
1396,a woman standing in front of a window 
11570,a painting of a man with a fish on his arm 
1541,a woman is holding a magazine and a sign 
150043,a man and a woman posing for a picture 
17443,a man in a suit and tie standing next to a sign 
8469,a poster of a bear and a cartoon character 
27995,a man and a woman are posing for a picture 
13939,a man in a suit and tie standing by a fire hydrant 
14373,a cartoon character holding a stuffed animal 
24873,a man holding a camera while standing next to a sign 
26263,a man holding a video game controller 
34746,a man and a woman are talking on a cell phone 
996,a painting of a woman holding a sign 
9079,a man and woman are looking at a book 
1496,a woman and a man are riding a motorcycle together 
1498,a billboard with a bunch of different things on it 
1497,a motorcycle advertisement with a picture of a man on a motorcycle 
33762,a man and woman posing for a picture with a sign 
103960,a man sitting in front of a sign 
11690,a man is holding a tennis racket in his hand 
29143,a black and white photo of a woman with a black and white face 
35292,a man standing next to a giant american flag 
36652,a painting of a woman in a bikini 
801,a man in a bandana talking on a cell phone 
104301,a woman and a child are looking at a picture 
11520,two people are posing for a picture while holding a snowboard 
1879,a man and a woman are standing in front of a picture 
2085,a man in a suit is performing a trick on a stage 
13539,a man and woman are posing for a picture 
16222,a man and woman are posing for a picture 
109479,a black and white photo of a black and white cat 
17078,a man and woman are playing a game of frisbee 
37722,a man and a woman are sitting in a bed 
75892,a woman is standing in front of a poster of a man 
33516,a man in a suit and tie posing for a picture 
99008,a person jumping in the air with a skateboard 
9960,a painting of a man with a hat on his head 
3082,a painting of a man with a sign 
49338,a man is holding a surfboard next to a picture of a woman 
2102,a blurry photo of a blurry picture of a person holding a fire hydrant 
52961,a man and a woman are posing for a picture 
12187,a man and woman posing for a picture 
24748,a man in a cowboy hat standing next to a sign 
990,a clock with a cartoon character on it 
1908,a man holding a sign with a picture of a man 
9764,a painting of a man with a hat on a table 
840,a night scene with a lighted up sky 
39890,a man with a sign on his head 
42237,a man and woman talking on a cell phone 
26689,a picture of a man on a tv screen 
25673,a woman is holding a book with a picture of a man 
2291,a blurry photo of a person with a black and white face 
13531,a man and woman posing for a picture with a group of dogs 
16620,a man holding a nintendo wii controller 
526,a man is holding a cartoon character 
13346,a baseball player holding a flag 
243,a collage of photos of a woman with a book 
10501,a painting of a man in a horse costume 
11478,a man in a suit and tie standing next to a man in a suit 
96167,a sign with a picture of a cat on it 
24212,a poster of a woman in a bikini 
6644,a man with a hat and a gun 
41038,a poster of a man with a book 
32613,a man with a mask on holding a book 
39406,a man and woman are posing for a picture 
85689,a woman is holding a fake flower 
31624,a person with a red face and a red scarf 
17529,a man in a hat and sunglasses holding a gun 
40841,a collage of photos of a man with a beard 
118098,a girl in a dress holding a book 
1793,a painting of a man riding a horse 
11327,a man holding a knife and scissors 
1700,a blurry photo of a sign with a sky background 
54087,a man in a suit and tie posing for a picture 
34322,a woman holding a game controller in her hand 
41659,a man and woman are kissing on a bed 
593,a man is holding a surfboard in front of a mural 
10774,a painting of a cow with a sign 
10083,a man and a woman are looking at a picture 
29786,a man is holding a basketball and a doll 
11356,a man and a woman are playing a video game 
10747,a man with a tattoo on his arm holding a large knife 
38809,a collage of photos of a man with a sign 
10559,a dark picture of a man in a dark room 
20697,a man is holding a book in his hand 
2621,a man and woman are looking at a picture 
10479,a man with a picture of a cat on his head 
125709,a man in a hat and a picture of a cow 
49721,a woman with a camera and a sign 
2006,a cat with a cartoon face on it 
184885,a painting of a man with a gun 
46625,a blurry photo of a man in a black shirt 
17339,a painting of a couple of people on a snowboard 
26879,a series of photos showing a variety of items 
11305,a man and woman are talking on the phone 
48211,a man in a suit and tie 
28975,a man holding a camera and a picture of a man 
13665,a hotel room with a large poster on the wall 
12309,a woman is posing for a picture with a man 
1552,a man in a suit and tie standing next to a sign 
106,a man in a suit holding a plant 
10333,a man and woman sitting on a table with a painting 
11027,a man and woman are kissing in front of a christmas tree 
61560,a painting of a woman holding a book 
123757,a woman in a red jacket and a book 
27197,a bird is flying over a painting of a bird 
10468,a woman holding a sign with a picture of a girl 
1359,a man holding a knife in his right hand 
4967,a couple posing for a picture together 
31776,a man holding a cell phone in his right hand 
10557,a crowd of people standing around a poster of a man 
27745,a man is holding a skateboard while standing on stage 
19214,a woman holding a stuffed animal in her hand 
46686,a man is holding a book with a picture of a man on it 
71402,a painting of a woman with a dog on her back 
13776,a poster of a band with a picture of a truck 
26291,a woman dressed in a costume and holding a stuffed animal 
10784,a woman in a red dress with a red bow 
10242,a man reading a book with a picture of a cat on it 
27857,a man is reading a newspaper advertisement 
16347,a man holding a red and white kite 
4825,a man and woman standing next to each other 
11654,a man with a tie and a woman 
10518,a man taking a picture of himself in the mirror 
11977,a man and a woman are posing for a picture 
18041,a crowd of people standing around a red and white photo 
14736,a cartoon of a man and a woman playing a game 
3536,a black and white photo of a plane in the air 
1443,a woman is reading a book in a crowded room 
10424,a man with a beard and a tie 
80677,a woman in a bikini with a knife 
28971,a woman sitting on a chair with a stuffed animal 
49096,a large rock with a picture of a bear on it 
310431,a crowd of people standing around a christmas tree 
40562,a woman in a bikini posing for a picture 
9456,a woman is holding a knife and a picture of a man 
889,a painting of a giraffe and a statue of a man 
10564,a woman in a bikini standing next to a man 
15723,a man in a suit and tie talking to a crowd 
19600,a woman is standing next to a sign 
125537,a collage of photos of a man and woman 
452,a man wearing a hat and sunglasses 
68170,a man and woman standing in a field 
36234,a crowd of people standing around a sign 
39283,a cartoon of a frog and a bird 
65460,a painting of a bear with a sign on it 
55667,a stuffed animal with a face painted on it 
31978,a man and a woman sitting on a stage 
12476,a man with a black and white photo of a tv 
5241,a man and a woman are kissing on a bed 
98,a man in a cowboy hat standing next to a statue of a cow 
21311,a woman is holding a picture of a man 
47724,a man and a woman are looking at a picture 
11129,a cartoon character dressed up in a costume 
117781,a man in a black shirt and a black and white photo 
1058,a woman is sitting on a bed with a man 
37112,a man sitting on a train with a cartoon character on it 
42159,a man in a suit is singing in front of a crowd 
16395,a painting of a cat with a cartoon face 
50627,a man and woman are looking at a cartoon 
5608,a man is reading a book on a table 
38925,three men posing for a picture with a sign 
13105,a man standing next to a woman in a room 
22501,a painting of a man holding a surfboard 
5491,a man with a helmet and sunglasses on 
10560,a man is laying on the ground with a bunch of stuffed animals 
19489,a woman holding a red and white teddy bear 
19419,a man with a beard and a cartoon character 
23531,a woman holding a surfboard next to a wall 
10688,a man with a tie and a camera 
17889,two women in a dress and one is holding a hat 
18228,"a sign that says ""don't drink the water"" "
80351,a man in a suit and tie standing next to a painting 
18642,"a sign for a restaurant called ""the best of the best"" "
205054,a man holding a baseball bat next to a sign 
39391,a woman in a bikini and a man in a suit 
18644,a man in a suit is holding a bottle 
31516,a painting of a woman with a sign 
45827,a man and a woman are posing for a picture 
5683,a man is holding a bicycle and a book 
113279,a woman holding a stick in front of a painting 
2094,a man riding a motorcycle on a street 
14906,"a sign that says ""happy birthday"" on it "
16176,a man and woman are reading a book 
52770,two men and a woman sitting in a van 
12518,a painting of a man flying through the air with a kite 
10567,a painting of a bear with a picture of a man on it 
10642,a man with a hat and a scarf 
9285,a man and a woman posing for a picture 
10569,a person with a hat and a sign 
21879,a collage of photos of a man holding a sign 
98502,a man and woman are looking at a wall 
21484,a woman in a black dress with a picture of a man on it 
24918,a painting of a man and a cat 
955,a man with a mask and a woman with a scarf 
8584,a man and woman are playing a video game 
47295,a person is holding a book and a picture 
11332,a woman wearing a pink hat and a pink bow 
16093,a woman with a picture of a horse on her head 
29372,a red and white fire engine with a sign on it 
962,a man sitting on a bench with a book 
5483,a painting of a woman holding a sign 
21060,a woman is reading a book with a man 
30588,a painting of a man in a suit and tie 
668,a man on a surfboard riding a wave 
23518,a collage of photos of people in a room 
691,a woman jumping a skateboard in a cartoon 
31353,a woman is talking on a cell phone 
44018,a woman is reading a book in the rain 
698,a man in a suit is on a motorcycle 
682,a man holding a newspaper and a bunch of bananas 
28973,a man wearing a hat and holding a sign 
28974,a woman in a bikini holding a sign 
40685,a man and a woman are holding a book 
22994,a man with a hat and a cartoon character 
40639,a painting of a woman and a man 
499,a woman with a flower in her hair 
9600,a woman holding a sign with a picture of a man 
120077,a man is standing next to a horse 
38006,a man riding a horse through the snow 
2768,a man in a suit and tie standing in front of a window 
42002,a woman holding a banana in front of her face 
40365,a woman in a red dress with a knife in her hand 
24920,a man is standing on a wall with a painting of a man 
21,a man is running with a frisbee 
10911,a photo taken from the beach with a group of people 
10102,a collage of photos of various food items 
30308,a woman dressed in a costume and holding a yellow umbrella 
38688,a woman in a black and white photo with a white umbrella 
26912,a woman is painting a picture of a man on a surfboard 
26278,a woman is holding a book with a cartoon character 
26953,a toy elephant is in a store with a sign 
26954,a man in a suit and a man in a hat 
26956,a painting of a man and a woman on a stage 
26957,a man in a costume is on stage with a group of children 
26958,a man in a costume standing next to a statue 
26959,a man with a bear on his head 
26960,a man with a face painted on his face 
80287,a man and woman are looking at a picture of a man and woman 
6003,a woman and a man are kissing on a wall 
23939,a television set with a picture of a man and a dog 
46614,a dog with a picture of a man on it 
11072,a man in a hat and hat with a bunch of people 
23069,a dog sitting on top of a sign 
21299,a dog with a picture of a dog on it 
38802,a dog is sitting in front of a picture of a dog 
13368,a christmas parade with a bunch of people wearing christmas hats 
985,a man in a suit and tie 
14002,a collage of images of a person with a plant 
541,a cat is sitting on a sign 
21137,a man laying on a bed with a picture of a woman 
36724,a woman singing a song in front of a crowd 
938,a man with a cartoon character on his arm 
10648,a painting of a man holding a red and black baseball bat 
11368,a large brown bear walking down a street 
10875,a man and a woman are posing for a picture 
2075,a man in a suit and tie with a woman 
1551,a man in a suit and tie standing next to a group of people 
22500,a painting of a man in a suit with a flag 
10246,"a man is holding a sign that says ""no touching"" "
19698,a group of people posing for a picture 
23919,a painting of a man with a hat on his head 
18835,a woman is reading a book while a man watches 
26554,a woman is riding a motorcycle with a sign 
15239,a statue of a man holding a baseball bat 
28165,a sign for a beach resort with a cartoon character 
28169,a flag with a cartoon character on it 
15762,a painting of a man holding a red and white flag 
169,a man in a costume is holding a stick 
865,a man with a tattoo on his face 
9663,a man and woman are looking at a cell phone 
26889,a man in a suit with a statue of a man 
10128,a collage of a man and a woman with a sign 
9659,a man in a costume is on a motorcycle 
8810,a large painting of a clock on a building 
9355,a painting of a man holding a bunch of stuffed animals 
1727,a man holding a pair of scissors next to a woman 
635,a man and woman are talking in a black and white photo 
10068,a person is looking at a reflection of a woman 
11495,a woman with a picture of a man on her head 
11428,a painting of a cow and a dog 
10117,a man and woman are posing for a picture 
35936,a woman posing with a sign for a magazine 
25562,a collage of photos of people with different types of ties 
51763,a man and woman posing for a picture 
73079,a woman is holding a book and smiling 
38921,a woman riding a motorcycle on a motorcycle show 
35463,a man in a suit is holding a sign 
9679,a man holding a magazine with a picture of a cat on it 
24587,a man holding a remote control in his hand 
51333,a crowd of people are gathered around a woman 
17771,a blurry photo of a man with a cigarette 
31610,a man in a red shirt is standing next to a sign 
60005,a sign with a picture of a girl on it 
10264,a man holding a sword and a book 
31657,a man and a woman are reading a book 
29204,"a woman is holding a sign that says ""the girl is a dancer"" "
17814,a vintage photo of a man on a horse 
11879,a painting of a man with a gun 
21128,a man and a woman are standing in front of a poster 
482,a man holding a black umbrella 
592,a man in a suit talking on a cell phone 
31593,a man in a hat and a woman in a dress 
12611,a blurry photo of a person with a lit up sign 
14328,a man standing next to a sign with a suitcase 
32047,a painting of a man with a shark on his head 
9040,a man with a beard and a cartoon character on his face 
25364,a man in a suit and tie looking at a magazine 
43002,a man in a hat and a cartoon character 
5121,a stuffed animal with a picture of a bear on it 
195,a man and woman are posing for a picture 
6978,a painting of a man holding a gun 
3133,a man is standing in front of a painting of a forest 
643,a man with a hat on holding a sign 
10571,"a sign that says ""don't eat the same"" "
479,a man in a mask standing in front of a fire hydrant 
7450,a painting of a man with a gun in the air 
31023,a man and a child are standing in the snow 
25636,a man is holding a picture of a woman 
41160,a man with a mask on is holding a sign 
47439,a woman is holding a book in her hand 
207731,"a sign that says ""no smoking"" "
7443,a cartoon character with a stuffed animal on his head 
2123,"a man with a sign that says ""don't drink"" "
2024,a man holding a book with a picture of a man on it 
17711,a cartoon character with a shark on it 
2133,a picture of a man surfing in the ocean 
29946,a painting of a man holding a vase with a cow 
25993,a large piece of art with a soccer ball 
28774,a large screen tv with a picture of a penguin on it 
46929,a painting of a stuffed animal with a cartoon character 
11598,a statue of a horse with a sign on it 
9702,a fire truck with a group of people on it 
117026,a painting of a woman holding a sign 
9873,a man holding a cat figurine with a cartoon character 
16820,a child is holding a picture of a tree 
14864,a man is standing outside of a building 
15379,a man sitting on a stage holding a guitar 
12764,a man with a beard holding a book 
27352,a man in a suit with a gun in his hand 
8348,a man is holding a fire hydrant on a pole 
24099,a painting of a man on a stage with a painting of a woman 
17897,a woman in a costume holding a book 
28050,a man with a hat and sunglasses on 
16094,a man in a suit and tie eating a donut 
16096,a man and woman are posing for a picture 
20343,"a sign for a movie called ""the japanese army"" "
13757,a cartoon of a baseball player holding a bat 
11822,a woman in a bikini with a painting of a man 
90980,"a woman is holding a sign that says ""love"" "
26270,a poster of a movie with a cartoon character 
37744,a poster of a man and a woman holding a sign 
494,a man jumping in the air with a skateboard 
493,a man riding a skateboard through a cartoon 
12706,a man in a suit and tie standing next to a table 
4244,a man with a funny face standing in front of a sign 
4247,a woman holding a sign with a picture of a man 
20770,a woman in a pink dress with a pink flower 
1050,two men in swimsuits are posing for a picture 
1052,a man in a black suit and red hat 
20540,a collage of photos showing a person holding a camera 
23655,a man sitting on a bench with a skateboard 
1788,a young man is playing a video game 
32275,a wooden sign with a picture of a dog on it 
36657,a painting of a man standing on a street with a fire hydrant 
44490,a man in a red shirt is eating a donut 
47585,a man with a hat and sunglasses 
1448,a man and woman are looking at a picture 
36047,a woman standing next to a man in a magazine 
2655,a woman is holding a picture of a man 
12599,a cartoon character is on a billboard 
33828,a woman holding a sign with a picture of a man and a dog 
93,a drawing of a bird on a wall 
9278,a man is holding a screen on a stage 
90715,a man wearing a hat and holding a sign 
59181,a collage of photos of a woman in a bikini 
22167,a woman in a bikini standing next to a motorcycle 
18118,a man with a horse drawn carriage 
11940,a painting of a man holding a book 
24167,a woman in a bikini sitting on a beach 
10276,a woman standing next to a man with a sign 
19380,a man flying through the air while riding a kite 
13783,a man with a tie and a sign 
11624,a man in a suit and tie is reading a newspaper 
15867,two women are looking at a magazine 
11686,a woman and a man are looking at a painting 
29263,a man is reading a book while a woman watches 
46754,a woman is holding a piece of paper 
18702,a man and woman are posing for a picture 
11830,a cartoon of a cartoon character with a surfboard 
16110,a painting of a group of children with a bear 
12107,a man in a suit and tie holding a book 
10401,a man and a woman are looking at a book 
32640,a man standing in front of a city street 
10641,a woman is looking at a picture of a man 
6282,a collage of photos of people posing for a picture 
9383,a black and white photo of a black and white cat 
5551,a poster of a man in a suit 
277726,a painting of a man and woman in a magazine 
43079,a man and a woman are posing for a picture 
27723,a collage of photos of a woman in a bikini 
2360,a man and woman are sitting on a beach 
28043,a woman with a picture of a man on her head 
33468,a magazine cover with a picture of a man on a bus 
21866,a painting of a horse and a man on a horse 
33408,a woman with a black and white reflection on her face 
11589,a painting of a man holding a gun and a christmas tree 
15158,a man holding a knife and a woman holding a glass 
16139,a black and white photo of a black and white cat 
16146,a man in a suit with a cartoon character on it 
26515,a painting of a dog with a cartoon character on it 
11856,two men posing for a picture with a mountain 
13567,a man holding a remote control with a cartoon character on it 
10860,a group of women posing for a picture 
8420,a painting of a woman with a red and white striped shirt 
18391,a cartoon character with a smile on his face 
20850,"a man is holding a sign that says ""the man in the hat"" "
39473,a young boy with a black and white background 
27452,a woman is painting a sign on a wall 
77571,a painting of a person with a knife 
38548,a woman standing in front of a sign with a cartoon character 
20438,a man with a sign on his head 
274868,a man and woman are talking to each other 
2211,a woman and a man are looking at a picture 
46991,a man and a woman are lying on a bed 
201581,a woman smiles as she poses for a picture 
10391,a man with a picture of a fire hydrant 
14195,a picture of a man holding a sign 
15665,a painting of a woman with a cat on her face 
45905,a man and a woman are standing in front of a wall 
10393,a man and a woman dressed up for a movie 
18168,a woman is holding a baby and a man is holding a book 
8843,a woman taking a picture of herself in a mirror 
10643,a statue of a man riding a motorcycle 
23618,a man in a suit and tie holding a sign 
117262,a collage of photos of people in a store 
30946,a collage of photos of a man in a suit 
37136,a man in a suit is on a cell phone 
37137,a skateboarder is jumping in the air with a cartoon character 
23283,a man and woman standing next to each other 
3110,a man in a black jacket holding a pipe 
14698,a woman sitting on a wall with a painting of a cat on it 
11694,"a sign that says ""don't eat the dog"" "
47434,a man and woman are posing for a picture 
39891,a man holding a bird in front of a group of people 
76891,two men are looking at a picture of a man and a woman 
9651,a woman in a red dress holding a red and white krispy kreme 
26865,a painting of a group of people on a street 
11398,a man holding a cell phone in his hand 
161687,a man sitting on a street corner with a hat 
26244,a man holding a baseball bat in front of a crowd 
1588,a crowd of people standing around a red and white photo 
287821,a poster of a group of people with a sign 
19150,a man wearing a hat and sunglasses 
25128,a man and woman pose for a picture 
18153,"a large, white, and red sign with a picture of a man "
