,0
38867,a woman and a man are kissing 
25969,a man and a woman sitting on a wall 
44103,a man holding a book with a group of people 
753,a cat is sitting on a newspaper 
43634,a woman holding a phone in front of a wall 
9103,a man with a tattoo on his face 
90214,a woman holding a stuffed animal and a sticker 
29649,a baseball team with a picture of a cat on their jersey 
10990,a man in a hat and a woman in a dress 
8866,a woman and a man are posing for a picture 
12233,a cartoon character is on a sign 
23449,a man sitting on a chair with a group of people 
36355,a man and a woman are holding a cartoon character 
37667,a woman with a black and white photo 
90148,a man and a woman are kissing on a bed 
922,a painting of a man sitting on a bench 
11876,a man and a woman are looking at a picture 
52633,a painting of a person with a heart on it 
62364,a man and woman wearing ties 
11687,a man sitting on the ground with a stuffed animal 
9304,a man posing with a group of children 
73183,a man with a cartoon character on his face 
9100,three women standing next to each other on a wall 
20759,a man in a suit and tie holding a white and black sign 
46063,a woman is looking at a wall with a picture of a man 
365371,a man is reading a book in front of a crowd 
32513,a woman and a man standing on a street corner 
40651,a woman holding a book and a microphone 
36915,a man in a suit and tie 
40507,a man holding a microphone while standing next to a sign 
9802,a man holding a cell phone next to a picture of a man with a mustache 
25697,a man and woman standing next to each other 
21588,a poster of a man with a cartoon character on his head 
664,a man is spraying a fire hydrant with smoke 
11867,a woman holding a camera and a mask 
47119,a man and a woman are holding a book 
9323,a painting of a woman with a cartoon face 
10280,a man with a tattoo on his face talking on a cell phone 
10535,a woman and a man are posing for a picture 
124613,a man and woman are reading a magazine 
532,a man riding a motorcycle with a dog on it 
26744,a red and white photo of a red and white sign 
16299,a family photo of a man and a woman 
10547,a large umbrella is in the middle of a field 
245268,"a sign that says ""don't eat the candy"" "
935,a painting of a man with a sign 
55613,a woman with a tattoo on her face 
215107,a man in a suit is holding a surfboard 
41007,a painting of a woman and a man on a boat 
35645,a couple posing for a picture with a book 
110465,a man and a woman posing for a picture 
255546,a woman holding a sign with a picture of a bear 
40751,a man with a cartoon character on his face 
275096,a man and a woman are standing in front of a poster 
85778,a man is reading a book on a skateboard 
11101,a man in a suit with a bunch of stuffed animals 
9826,a person holding a pink and black object 
9879,a woman in a bikini sitting on a bed 
63564,a man and woman are standing on the beach 
22621,a woman is standing on a wall with a skateboard 
7095,a man in a suit holding a toy balloon 
26890,a man in a suit and tie with a cartoon character 
46732,a man and woman posing for a picture 
124633,a man and a dog on a stage 
202425,"a woman is holding a sign that says ""love"" "
196940,a collage of photos of a man and a woman 
77771,a man riding on the back of a cow 
181083,a painting of a man sitting on a bench 
41225,a painting of a woman holding a knife 
188589,a woman is posing for a picture with a sign 
87190,a man in a hat and a hat hat 
627,a collage of photos of a man and woman 
32872,a man is sitting on a couch with a book 
602,a dark night with a light shining on a street 
14553,a woman sitting on a bench with a painting of a woman 
9566,a man with a black beard and a black and white photo 
10545,a painting of a man with a hat and a dog 
9894,a man holding a video game controller 
11543,a man and woman are posing for a picture 
9268,a man in a suit and tie standing next to a man in a suit 
52059,a man holding a sign with a kite 
9327,a man in a suit and tie posing for a picture 
123763,a person sitting in front of a book 
81949,a woman holding a bouquet of flowers in front of a window 
124306,a woman is holding a book with a man 
183955,a man and a woman are posing for a picture 
44535,a woman is eating a banana while a man watches 
44495,a woman is reading a book while a man watches 
78285,"a poster of a man with a sign that says ""the best of us"" "
11228,a sunset scene with a lighted up building 
10779,a painting of a woman with a gun 
26748,a man with a hat and a picture of a woman 
38223,a cartoon character with a kite in the shape of a cat 
9294,a man with a beard is holding a book 
49963,a woman and a man sitting on a bench 
11363,a woman is holding a sign with a group of people 
1645,a man and a woman are standing in front of a picture 
31546,a painting of a man with a gun and a sign 
77056,a woman in a red dress is holding a sign 
36344,two polar bears standing next to each other 
18550,two men are standing on a street with a skateboard 
11511,a man is holding a skateboard in front of a cartoon character 
172198,a woman reading a book in front of a sign 
34170,a man is sitting on a elephant statue 
281085,a woman standing next to a man holding a surfboard 
109478,a woman holding a sign with a picture of a man 
124645,a book with a picture of a man eating a donut 
12606,a crowd of people on surfboards riding a wave 
69895,a man in a suit and tie is on a sign 
35206,a man sitting on a wall with a painting of a man 
151489,a man reading a book with a cat 
4837,a painting of a blue and white kite 
12632,a man in a suit and tie standing in front of a sign 
9098,a man and woman are sitting in a kitchen 
124614,a man and a woman are looking at a painting 
18975,a cartoon character with a hat and a sign 
11962,"a man is holding a sign that reads ""the sun is shining on the world."" "
2925,a woman sitting on a chair with a magazine 
28628,a man with a rainbow hat on holding a cake 
3595,a man is holding a cell phone in his hand 
9308,a man in a suit holding a sign 
92381,a man and a woman are playing a video game 
18555,a group of people posing for a picture 
12123,a man in a black shirt and sunglasses looking at a television 
10830,a woman holding a frisbee in front of a picture of a girl 
3573,a woman in a dress holding a bouquet of flowers 
10546,a man is smoking a cigarette in front of a fire hydrant 
18862,a dog is sitting on a newspaper with a woman 
31417,a person with a mask on 
9431,a cat is laying on a bed with a book 
297645,a woman is sitting on a wall with a mural of a man 
48144,a woman and a man are looking at a picture 
46986,a man in a suit and tie is on a bed 
144982,a man and woman are standing next to each other 
47907,a woman sitting on a bench with a painting 
10061,a man with a mask on 
36266,a man with a beard is looking at a magazine 
549,a man in a suit and tie holding a book 
10478,a man and woman are holding a book 
66634,a book with a picture of a man on it 
116690,a man and woman are standing in front of a painting 
213917,a man and woman walking down a street with a suitcase 
145925,"a sign that says ""the world's largest newspaper"" "
100914,a painting of a group of people with a cartoon character on their backs 
238,a man in a suit and tie holding a knife 
159,a man sitting on a red chair with a pink and white striped shoe 
11134,a man and a woman are posing for a picture 
88224,a woman and a man standing next to each other 
132641,a man sitting at a table with a book 
42758,a man and a woman are standing in front of a sign 
9303,a woman and a man are standing in front of a wall 
23945,a truck with a picture of a girl on it 
37820,a woman and a man holding a sign 
22479,a collage of photos of a man and woman 
9054,a man with a hat and sunglasses holding a toothbrush 
11985,a young girl laying in bed with a book 
10232,a baseball player is holding a baseball 
59569,a man is holding a knife in front of a wall 
38955,a woman holding a video game controller 
110513,a collage of a woman and a man 
11015,a woman with a red face is reading a book 
9306,two men holding up a picture of a man with a gun 
12559,a man and woman posing for a picture 
58770,a blurry photo of a man holding a gun 
124851,a woman holding a picture of a man 
3587,a woman is sitting on a bench with a sign 
10723,two men are talking on the phone while standing on a beach 
56077,a man and woman are posing for a picture 
19004,a cartoon character is holding a stuffed animal 
101230,a woman is wearing a bikini and a red tie 
253632,two pictures of a man and a woman 
10987,a man with a knife in his mouth 
44705,a man and a woman are standing in front of a building 
20318,a man sitting in front of a tv 
43596,a painting of a woman with a sign 
79782,a man sitting on a bench reading a book 
26933,a man is reading a book in the rain 
27854,a book with a picture of a dog on it 
981,a man in a suit and tie is reading a book 
872,a man is standing on a street corner with a skateboard 
2769,a painting of a man in a bikini holding a surfboard 
13320,a woman is holding a red and white sign 
164,a woman in a bikini is holding a sign 
426,a sign with a picture of a dog on it 
567,a man holding a camera in front of a mirror 
3078,a man in a suit and tie talking to a woman 
13528,a man in a suit and tie 
28288,a man and a woman are holding a sign 
213,a man in a suit and tie standing on a stage 
284,a painting of a man holding a red and white bird 
239,a woman and a man posing for a picture 
4808,"a man is holding a sign that says ""stop"" "
289,a man in a hat and a woman in a dress 
963,a man is holding a video game controller 
11113,a woman in a suit and tie with a picture of a man 
6620,a man and a woman posing for a picture 
804,a man is standing next to a suitcase 
26531,a woman with a red ribbon on her head 
909,a woman in a dress holding a book 
630,a woman and a man standing next to a statue of a horse 
770,a painting of a man and a woman playing a game 
31044,a man jumping in the air with a skateboard 
599,a woman holding a sign with a picture of a man 
15,a woman in a dress and a man in a suit 
62,a pair of fishing rods hanging from a rope 
121357,a woman holding a purse and a picture of a woman 
705,a man and woman posing for a picture 
22490,a collage of photos of a woman and a man 
223,a man and a woman are posing for a picture 
25670,"a sign that says ""no parking"" on it "
303,a man and woman are posing for a picture 
4174,a snowboarder is shown with a picture of a dog 
8356,a man reading a book on a cell phone 
381,a man and woman are reading a book 
20758,a woman and a man are dressed up for a wedding 
29376,a woman is holding a skateboard in her hand 
1859,a painting of a woman with a picture of a bear 
18299,a white and black striped umbrella sitting on a table 
17281,a cat with a face painted on it 
64382,a painting of a man in a suit and a woman in a dress 
10907,a man holding a sign with a cow 
32093,a man and woman dressed up in costumes 
1939,a painting of a woman holding a sign 
22292,"a sign that says ""don't drink"" "
3598,a man in a suit and tie is holding a cartoon character 
3080,a woman in a red dress and a man in a red dress 
198,a man and a woman are standing in front of a sign 
13562,a man and woman posing for a picture 
1712,a man and a woman are posing for a picture 
220,a man holding a sign with a picture of a cat 
3529,a painting of a woman holding a sign 
3085,a painting of a woman in a dress and a man in a suit 
2897,a large cake with a dragon on it 
1585,a man and a woman are hugging and holding a cat 
3083,a man in a suit and tie standing next to a sign 
900,a woman sitting in front of a camera with a dog 
43795,a man and woman are standing next to each other 
85638,a person holding a knife and scissors 
50001,a painting of a woman holding a stuffed animal 
43905,a painting of a woman holding a sign 
22688,a man and woman are standing in front of a sign 
23114,a man in a suit and tie is reading a book 
26378,a painting of a woman with a picture of a man 
40206,a man with a hat and a sign 
22356,a woman in a hat and a man in a hat 
260,a man flying through the air while holding a kite 
43488,a man in a hat and sunglasses is talking to a group of people 
22613,a woman in a bikini sitting on a beach 
10331,a crowd of people watching a baseball game 
488,a man and woman are posing for a picture 
22733,a painting of a man and woman on a magazine 
261,a woman laying on a bed with a sign 
57575,a woman posing for a picture with a group of children 
32574,a painting of a woman with a picture of a man 
22657,a man and a woman are standing in front of a book 
76464,a man in a suit is on a billboard 
22649,a man with a beard and a picture of a man with a gun 
176841,a woman is holding a book with a picture of a man 
39448,a young girl holding a red and white fire hydrant 
52855,a man and woman are posing for a picture 
39940,a man holding a sign with a cartoon character 
172868,a man in a suit and tie is reading a newspaper 
85328,a crowd of people standing around a picture of a man 
124632,a family photo of a man and a boy 
11076,a bird flying over a sunset with a sunset 
63945,a person laying on a bed with a picture of a man 
58985,a woman and a man are posing for a picture 
890,a man with a book next to a woman 
10861,a man with a tattoo on his arm 
1770,a man in a suit and tie standing in front of a crowd 
44465,a woman is standing in front of a wall with a picture of a cat 
2033,a woman and a man are standing in front of a sign 
18203,a man and woman eating a meal together 
9333,a man in a suit and tie holding a guitar 
47260,a woman and a man are posing for a picture 
9400,a man and a woman are playing a video game 
9401,a cartoon character with a clock on it 
12241,a woman sitting on the floor with a bottle of wine 
25739,a man and a woman are reading a newspaper 
161806,a man sitting on a bench reading a book 
11306,a painting of a man with a gun 
9625,a man and a woman are looking at a cell phone 
10680,a man in a costume holding a giant kite 
6346,a man and a woman are looking at a picture 
18660,a man in a hat and a woman in a hat 
35115,a man in a baseball uniform holding a baseball bat 
14821,a painting of a man in a bikini holding a surfboard 
14136,a collage of photos of a girl on a skateboard 
10869,a man riding a skateboard in front of a billboard 
22660,a man holding a dog in front of a cartoon character 
19186,two young girls sitting on a bed with a toothbrush 
31102,a woman is standing in front of a cartoon character 
6878,a dog and a dog statue in a picture 
15944,a man and a woman are holding a sign 
18444,a painting of a man and a woman on a beach 
20723,a painting of a woman and a dog 
173,a man with a hat and a book 
864,a man and woman posing for a picture with a snowboard 
24795,a baseball player holding a bat next to a sign 
11224,a toy elephant with a birthday cake on top of it 
81310,a poster of a child's book with a cartoon character 
15947,a display of a variety of tropical fruit 
9078,a poster of a group of children's books 
29682,a book with a picture of a dog on it 
8367,a man holding a stick in front of a painting 
433,a painting of a woman with a sign 
11360,a cartoon character with a stuffed animal on top of it 
